"date","aud_price"
"2019-01-04","0.9216"
"2019-01-07","0.9366"
"2019-01-08","0.9494"
"2019-01-09","0.9583"
"2019-01-10","0.9701"
"2019-01-11","0.9714"
"2019-01-14","0.9659"
"2019-01-15","0.9633"
"2019-01-16","0.9753"
"2019-01-17","0.9836"
"2019-01-18","0.9886"
"2019-01-21","1.0013"
"2019-01-22","1.0016"
"2019-01-23","0.9915"
"2019-01-24","0.9889"
"2019-01-25","1.0001"
"2019-01-29","1.0037"
"2019-01-30","0.9866"
"2019-01-31","0.9912"
"2019-02-01","1.0016"
"2019-02-04","1.0046"
"2019-02-05","1.0146"
"2019-02-06","1.0222"
"2019-02-07","1.0315"
"2019-02-08","1.0268"
"2019-02-11","1.0285"
"2019-02-12","1.0334"
"2019-02-13","1.0429"
"2019-02-14","1.0452"
"2019-02-15","1.0456"
"2019-02-18","1.0426"
"2019-02-19","1.0450"
"2019-02-20","1.0430"
"2019-02-21","1.0438"
"2019-02-22","1.0490"
"2019-02-25","1.0558"
"2019-02-26","1.0596"
"2019-02-27","1.0537"
"2019-02-28","1.0611"
"2019-03-01","1.0629"
"2019-03-04","1.0676"
"2019-03-05","1.0636"
"2019-03-06","1.0666"
"2019-03-07","1.0713"
"2019-03-08","1.0620"
"2019-03-11","1.0550"
"2019-03-12","1.0687"
"2019-03-13","1.0696"
"2019-03-14","1.0743"
"2019-03-15","1.0784"
"2019-03-18","1.0789"
"2019-03-19","1.0803"
"2019-03-20","1.0846"
"2019-03-21","1.0837"
"2019-03-22","1.0941"
"2019-03-25","1.0805"
"2019-03-26","1.0715"
"2019-03-27","1.0722"
"2019-03-28","1.0728"
"2019-03-29","1.0795"
"2019-04-01","1.0872"
"2019-04-02","1.0996"
"2019-04-03","1.1087"
"2019-04-04","1.1124"
"2019-04-05","1.1091"
"2019-04-08","1.1133"
"2019-04-09","1.1126"
"2019-04-10","1.1112"
"2019-04-11","1.1128"
"2019-04-12","1.1155"
"2019-04-15","1.1228"
"2019-04-16","1.1195"
"2019-04-17","1.1230"
"2019-04-18","1.1205"
"2019-04-23","1.1227"
"2019-04-24","1.1421"
"2019-04-26","1.1527"
"2019-04-29","1.1555"
"2019-04-30","1.1580"
"2019-05-01","1.1588"
"2019-05-02","1.1597"
"2019-05-03","1.1598"
"2019-05-06","1.1702"
"2019-05-07","1.1627"
"2019-05-08","1.1447"
"2019-05-09","1.1436"
"2019-05-10","1.1380"
"2019-05-13","1.1400"
"2019-05-14","1.1184"
"2019-05-15","1.1262"
"2019-05-16","1.1393"
"2019-05-17","1.1541"
"2019-05-20","1.1447"
"2019-05-21","1.1250"
"2019-05-22","1.1337"
"2019-05-23","1.1317"
"2019-05-24","1.1149"
"2019-05-27","1.1102"
"2019-05-28","1.1119"
"2019-05-29","1.1144"
"2019-05-30","1.1058"
"2019-05-31","1.1085"
"2019-06-03","1.0937"
"2019-06-04","1.0713"
"2019-06-05","1.0862"
"2019-06-06","1.1005"
"2019-06-07","1.1065"
"2019-06-11","1.1203"
"2019-06-12","1.1377"
"2019-06-13","1.1384"
"2019-06-14","1.1404"
"2019-06-17","1.1416"
"2019-06-18","1.1486"
"2019-06-19","1.1594"
"2019-06-20","1.1715"
"2019-06-21","1.1795"
"2019-06-24","1.1707"
"2019-06-25","1.1635"
"2019-06-26","1.1455"
"2019-06-27","1.1460"
"2019-06-28","1.1506"
"2019-07-01","1.1515"
"2019-07-02","1.1707"
"2019-07-03","1.1705"
"2019-07-04","1.1712"
"2019-07-05","1.1731"
"2019-07-08","1.1776"
"2019-07-09","1.1671"
"2019-07-10","1.1771"
"2019-07-11","1.1844"
"2019-07-12","1.1882"
"2019-07-15","1.1804"
"2019-07-16","1.1788"
"2019-07-17","1.1752"
"2019-07-18","1.1729"
"2019-07-19","1.1636"
"2019-07-22","1.1643"
"2019-07-23","1.1701"
"2019-07-24","1.1827"
"2019-07-25","1.1966"
"2019-07-26","1.1910"
"2019-07-29","1.2018"
"2019-07-30","1.2009"
"2019-07-31","1.1988"
"2019-08-01","1.1918"
"2019-08-02","1.1915"
"2019-08-05","1.1739"
"2019-08-06","1.1329"
"2019-08-07","1.1374"
"2019-08-08","1.1434"
"2019-08-09","1.1608"
"2019-08-12","1.1567"
"2019-08-13","1.1490"
"2019-08-14","1.1570"
"2019-08-15","1.1404"
"2019-08-16","1.1277"
"2019-08-19","1.1390"
"2019-08-20","1.1603"
"2019-08-21","1.1605"
"2019-08-22","1.1683"
"2019-08-23","1.1673"
"2019-08-26","1.1452"
"2019-08-27","1.1493"
"2019-08-28","1.1568"
"2019-08-29","1.1624"
"2019-08-30","1.1753"
"2019-09-02","1.1784"
"2019-09-03","1.1780"
"2019-09-04","1.1644"
"2019-09-05","1.1722"
"2019-09-06","1.1916"
"2019-09-09","1.1849"
"2019-09-10","1.1783"
"2019-09-11","1.1701"
"2019-09-12","1.1781"
"2019-09-13","1.1813"
"2019-09-16","1.1774"
"2019-09-17","1.1740"
"2019-09-18","1.1753"
"2019-09-19","1.1754"
"2019-09-20","1.1813"
"2019-09-23","1.1803"
"2019-09-24","1.1761"
"2019-09-25","1.1581"
"2019-09-26","1.1741"
"2019-09-27","1.1791"
"2019-09-30","1.1630"
"2019-10-01","1.1699"
"2019-10-02","1.1756"
"2019-10-03","1.1552"
"2019-10-04","1.1589"
"2019-10-08","1.1665"
"2019-10-09","1.1594"
"2019-10-10","1.1676"
"2019-10-11","1.1668"
"2019-10-14","1.1785"
"2019-10-15","1.1861"
"2019-10-16","1.2029"
"2019-10-17","1.2005"
"2019-10-18","1.1893"
"2019-10-21","1.1709"
"2019-10-22","1.1729"
"2019-10-23","1.1640"
"2019-10-24","1.1620"
"2019-10-25","1.1804"
"2019-10-28","1.1855"
"2019-10-29","1.1926"
"2019-10-30","1.1843"
"2019-10-31","1.1813"
"2019-11-01","1.1796"
"2019-11-04","1.1836"
"2019-11-05","1.1966"
"2019-11-06","1.1917"
"2019-11-07","1.1882"
"2019-11-08","1.1940"
"2019-11-11","1.2008"
"2019-11-12","1.2057"
"2019-11-13","1.2110"
"2019-11-14","1.2128"
"2019-11-15","1.2252"
"2019-11-18","1.2301"
"2019-11-19","1.2350"
"2019-11-20","1.2355"
"2019-11-21","1.2364"
"2019-11-22","1.2338"
"2019-11-25","1.2407"
"2019-11-26","1.2546"
"2019-11-27","1.2590"
"2019-11-28","1.2703"
"2019-11-29","1.2717"
"2019-12-02","1.2691"
"2019-12-03","1.2502"
"2019-12-04","1.2359"
"2019-12-05","1.2325"
"2019-12-06","1.2410"
"2019-12-09","1.2496"
"2019-12-10","1.2473"
"2019-12-11","1.2478"
"2019-12-12","1.2445"
"2019-12-13","1.2452"
"2019-12-16","1.2561"
"2019-12-17","1.2714"
"2019-12-18","1.2776"
"2019-12-19","1.2801"
"2019-12-20","1.2823"
"2019-12-23","1.2850"
"2019-12-24","1.2831"
"2019-12-27","1.2843"
"2019-12-30","1.2865"
"2019-12-31","1.2744"
"2020-01-02","1.2668"
"2020-01-03","1.2915"
"2020-01-06","1.2913"
"2020-01-07","1.2972"
"2020-01-08","1.3190"
"2020-01-09","1.3239"
"2020-01-10","1.3408"
"2020-01-13","1.3391"
"2020-01-14","1.3533"
"2020-01-15","1.3520"
"2020-01-16","1.3512"
"2020-01-17","1.3626"
"2020-01-20","1.3710"
"2020-01-21","1.3711"
"2020-01-22","1.3684"
"2020-01-23","1.3750"
"2020-01-24","1.3709"
"2020-01-28","1.3649"
"2020-01-29","1.3629"
"2020-01-30","1.3694"
"2020-01-31","1.3688"
"2020-02-03","1.3579"
"2020-02-04","1.3752"
"2020-02-05","1.4011"
"2020-02-06","1.3953"
"2020-02-07","1.4122"
"2020-02-10","1.4170"
"2020-02-11","1.4250"
"2020-02-12","1.4251"
"2020-02-13","1.4429"
"2020-02-14","1.4470"
"2020-02-17","1.4556"
"2020-02-18","1.4550"
"2020-02-19","1.4549"
"2020-02-20","1.4747"
"2020-02-21","1.4781"
"2020-02-24","1.4568"
"2020-02-25","1.4028"
"2020-02-26","1.3714"
"2020-02-27","1.3720"
"2020-02-28","1.3248"
"2020-03-02","1.3283"
"2020-03-03","1.3580"
"2020-03-04","1.3311"
"2020-03-05","1.3530"
"2020-03-06","1.3316"
"2020-03-09","1.2958"
"2020-03-10","1.2168"
"2020-03-11","1.2775"
"2020-03-12","1.2259"
"2020-03-13","1.1589"
"2020-03-16","1.2347"
"2020-03-17","1.1118"
"2020-03-18","1.1718"
"2020-03-19","1.1475"
"2020-03-20","1.1692"
"2020-03-23","1.1483"
"2020-03-24","1.1350"
"2020-03-25","1.2017"
"2020-03-26","1.2162"
"2020-03-27","1.2487"
"2020-03-30","1.1946"
"2020-03-31","1.2252"
"2020-04-01","1.2224"
"2020-04-02","1.1984"
"2020-04-03","1.2065"
"2020-04-06","1.1969"
"2020-04-07","1.2551"
"2020-04-08","1.2452"
"2020-04-09","1.2627"
"2020-04-14","1.2645"
"2020-04-15","1.2981"
