"date","aud_price"
"2019-02-14","1.0491"
"2019-02-15","1.0462"
"2019-02-18","1.0483"
"2019-02-19","1.0506"
"2019-02-20","1.0482"
"2019-02-21","1.0508"
"2019-02-22","1.0575"
"2019-02-25","1.0587"
"2019-02-26","1.0577"
"2019-02-27","1.0545"
"2019-02-28","1.0583"
"2019-03-01","1.0623"
"2019-03-04","1.0712"
"2019-03-05","1.0680"
"2019-03-06","1.0683"
"2019-03-07","1.0727"
"2019-03-08","1.0687"
"2019-03-11","1.0611"
"2019-03-12","1.0690"
"2019-03-13","1.0706"
"2019-03-14","1.0742"
"2019-03-15","1.0783"
"2019-03-18","1.0812"
"2019-03-19","1.0840"
"2019-03-20","1.0871"
"2019-03-21","1.0810"
"2019-03-22","1.0864"
"2019-03-25","1.0785"
"2019-03-26","1.0696"
"2019-03-27","1.0729"
"2019-03-28","1.0756"
"2019-03-29","1.0793"
"2019-04-01","1.0819"
"2019-04-02","1.0914"
"2019-04-03","1.0971"
"2019-04-04","1.0957"
"2019-04-05","1.0952"
"2019-04-08","1.0965"
"2019-04-09","1.0980"
"2019-04-10","1.0955"
"2019-04-11","1.0914"
"2019-04-12","1.0937"
"2019-04-15","1.0922"
"2019-04-16","1.0920"
"2019-04-17","1.0947"
"2019-04-18","1.0935"
"2019-04-23","1.0961"
"2019-04-24","1.1087"
"2019-04-26","1.1175"
"2019-04-29","1.1146"
"2019-04-30","1.1148"
"2019-05-01","1.1168"
"2019-05-02","1.1163"
"2019-05-03","1.1160"
"2019-05-06","1.1199"
"2019-05-07","1.1140"
"2019-05-08","1.0999"
"2019-05-09","1.0995"
"2019-05-10","1.0936"
"2019-05-13","1.0962"
"2019-05-14","1.0885"
"2019-05-15","1.0926"
"2019-05-16","1.1004"
"2019-05-17","1.1126"
"2019-05-20","1.1132"
"2019-05-21","1.1060"
"2019-05-22","1.1139"
"2019-05-23","1.1154"
"2019-05-24","1.1040"
"2019-05-27","1.1035"
"2019-05-28","1.1036"
"2019-05-29","1.0988"
"2019-05-30","1.0925"
"2019-05-31","1.0935"
"2019-06-03","1.0824"
"2019-06-04","1.0786"
"2019-06-05","1.0863"
"2019-06-06","1.0936"
"2019-06-07","1.0986"
"2019-06-11","1.1063"
"2019-06-12","1.1197"
"2019-06-13","1.1213"
"2019-06-14","1.1223"
"2019-06-17","1.1254"
"2019-06-18","1.1267"
"2019-06-19","1.1346"
"2019-06-20","1.1420"
"2019-06-21","1.1490"
"2019-06-24","1.1475"
"2019-06-25","1.1435"
"2019-06-26","1.1358"
"2019-06-27","1.1312"
"2019-06-28","1.1326"
"2019-07-01","1.1334"
"2019-07-02","1.1350"
"2019-07-03","1.1372"
"2019-07-04","1.1387"
"2019-07-05","1.1402"
"2019-07-08","1.1431"
"2019-07-09","1.1359"
"2019-07-10","1.1411"
"2019-07-11","1.1423"
"2019-07-12","1.1426"
"2019-07-15","1.1372"
"2019-07-16","1.1343"
"2019-07-17","1.1350"
"2019-07-18","1.1332"
"2019-07-19","1.1274"
"2019-07-22","1.1312"
"2019-07-23","1.1319"
"2019-07-24","1.1405"
"2019-07-25","1.1479"
"2019-07-26","1.1511"
"2019-07-29","1.1589"
"2019-07-30","1.1606"
"2019-07-31","1.1602"
"2019-08-01","1.1519"
"2019-08-02","1.1507"
"2019-08-05","1.1420"
"2019-08-06","1.1196"
"2019-08-07","1.1195"
"2019-08-08","1.1220"
"2019-08-09","1.1307"
"2019-08-12","1.1302"
"2019-08-13","1.1299"
"2019-08-14","1.1310"
"2019-08-15","1.1195"
"2019-08-16","1.1125"
"2019-08-19","1.1220"
"2019-08-20","1.1353"
"2019-08-21","1.1321"
"2019-08-22","1.1368"
"2019-08-23","1.1382"
"2019-08-26","1.1259"
"2019-08-27","1.1251"
"2019-08-28","1.1282"
"2019-08-29","1.1355"
"2019-08-30","1.1449"
"2019-09-02","1.1487"
"2019-09-03","1.1488"
"2019-09-04","1.1400"
"2019-09-05","1.1464"
"2019-09-06","1.1539"
"2019-09-09","1.1525"
"2019-09-10","1.1487"
"2019-09-11","1.1458"
"2019-09-12","1.1525"
"2019-09-13","1.1566"
"2019-09-16","1.1556"
"2019-09-17","1.1517"
"2019-09-18","1.1536"
"2019-09-19","1.1580"
"2019-09-20","1.1638"
"2019-09-23","1.1673"
"2019-09-24","1.1660"
"2019-09-25","1.1582"
"2019-09-26","1.1641"
"2019-09-27","1.1654"
"2019-09-30","1.1611"
"2019-10-01","1.1657"
"2019-10-02","1.1653"
"2019-10-03","1.1471"
"2019-10-04","1.1461"
"2019-10-08","1.1516"
"2019-10-09","1.1483"
"2019-10-10","1.1535"
"2019-10-11","1.1534"
"2019-10-14","1.1613"
"2019-10-15","1.1646"
"2019-10-16","1.1753"
"2019-10-17","1.1760"
"2019-10-18","1.1691"
"2019-10-21","1.1591"
"2019-10-22","1.1615"
"2019-10-23","1.1607"
"2019-10-24","1.1598"
"2019-10-25","1.1693"
"2019-10-28","1.1725"
"2019-10-29","1.1752"
"2019-10-30","1.1706"
"2019-10-31","1.1691"
"2019-11-01","1.1674"
"2019-11-04","1.1720"
"2019-11-05","1.1810"
"2019-11-06","1.1799"
"2019-11-07","1.1810"
"2019-11-08","1.1835"
"2019-11-11","1.1888"
"2019-11-12","1.1886"
"2019-11-13","1.1914"
"2019-11-14","1.1906"
"2019-11-15","1.1975"
"2019-11-18","1.2000"
"2019-11-19","1.2032"
"2019-11-20","1.2038"
"2019-11-21","1.1997"
"2019-11-22","1.1981"
"2019-11-25","1.2013"
"2019-11-26","1.2101"
"2019-11-27","1.2122"
"2019-11-28","1.2190"
"2019-11-29","1.2192"
"2019-12-02","1.2153"
"2019-12-03","1.2013"
"2019-12-04","1.1877"
"2019-12-05","1.1878"
"2019-12-06","1.1931"
"2019-12-09","1.2010"
"2019-12-10","1.2018"
"2019-12-11","1.2023"
"2019-12-12","1.1990"
"2019-12-13","1.2003"
"2019-12-16","1.2098"
"2019-12-17","1.2184"
"2019-12-18","1.2250"
"2019-12-19","1.2245"
"2019-12-20","1.2238"
"2019-12-23","1.2258"
"2019-12-24","1.2223"
"2019-12-27","1.2218"
"2019-12-30","1.2216"
"2019-12-31","1.2136"
"2020-01-02","1.2080"
"2020-01-03","1.2202"
"2020-01-06","1.2217"
"2020-01-07","1.2255"
"2020-01-08","1.2359"
"2020-01-09","1.2376"
"2020-01-10","1.2475"
"2020-01-13","1.2418"
"2020-01-14","1.2474"
"2020-01-15","1.2482"
"2020-01-16","1.2511"
"2020-01-17","1.2578"
"2020-01-20","1.2656"
"2020-01-21","1.2650"
"2020-01-22","1.2615"
"2020-01-23","1.2654"
"2020-01-24","1.2582"
"2020-01-28","1.2570"
"2020-01-29","1.2540"
"2020-01-30","1.2526"
"2020-01-31","1.2529"
"2020-02-03","1.2438"
"2020-02-04","1.2430"
"2020-02-05","1.2528"
"2020-02-06","1.2632"
"2020-02-07","1.2730"
"2020-02-10","1.2747"
